date,source,sessions,users
2023-05-20,Referral (Planity),2,2
2023-05-21,Organic Search,10,9
2023-05-21,Direct,6,5
2023-05-21,Social (Instagram),4,3
2023-05-21,Referral (Planity),3,2
2023-05-22,Organic Search,13,12
2023-05-22,Direct,9,8
2023-05-22,Social (Instagram),5,4
2023-05-22,Referral (Planity),3,3
2023-05-23,Organic Search,19,16
2023-05-23,Direct,11,9
2023-05-23,Social (Instagram),8,7
2023-05-23,Referral (Planity),5,4
2023-05-24,Organic Search,16,13
2023-05-24,Direct,9,7
2023-05-24,Social (Instagram),7,6
2023-05-24,Referral (Planity),4,3
2023-05-25,Organic Search,15,13
2023-05-25,Direct,9,8
2023-05-25,Social (Instagram),6,5
2023-05-25,Referral (Planity),4,3
2023-05-26,Organic Search,13,11
2023-05-26,Direct,7,6
2023-05-26,Social (Instagram),5,4
2023-05-26,Referral (Planity),3,3
2023-05-27,Organic Search,12,10
2023-05-27,Direct,6,5
2023-05-27,Social (Instagram),4,3
2023-05-27,Referral (Planity),3,3
2023-05-28,Organic Search,8,7
2023-05-28,Direct,4,3
2023-05-28,Social (Instagram),3,2
2023-05-28,Referral (Planity),2,2
2023-05-29,Organic Search,8,7
2023-05-29,Direct,5,4
2023-05-29,Social (Instagram),3,2
2023-05-29,Referral (Planity),2,2
2023-05-30,Organic Search,15,12
2023-05-30,Direct,9,7
2023-05-30,Social (Instagram),6,5
2023-05-30,Referral (Planity),4,3
2023-05-31,Organic Search,21,16
2023-05-31,Direct,14,12
2023-05-31,Social (Instagram),7,6
2023-05-31,Referral (Planity),4,3
2023-06-01,Organic Search,18,15
2023-06-01,Direct,8,7
2023-06-01,Social (Instagram),8,6
2023-06-01,Referral (Planity),4,4
2023-06-02,Organic Search,16,14
2023-06-02,Direct,10,8
2023-06-02,Social (Instagram),7,6
2023-06-02,Referral (Planity),3,3
2023-06-03,Organic Search,10,8
2023-06-03,Direct,4,3
2023-06-03,Social (Instagram),4,3
2023-06-03,Referral (Planity),3,2
2023-06-04,Organic Search,11,9
2023-06-04,Direct,7,5
2023-06-04,Social (Instagram),5,4
2023-06-04,Referral (Planity),4,3
2023-06-05,Organic Search,13,10
2023-06-05,Direct,8,6
2023-06-05,Social (Instagram),5,4
2023-06-05,Referral (Planity),2,2
2023-06-06,Organic Search,11,9
2023-06-06,Direct,6,5
2023-06-06,Social (Instagram),4,3
2023-06-06,Referral (Planity),3,2
2023-06-07,Organic Search,16,14
2023-06-07,Direct,9,8
2023-06-07,Social (Instagram),6,5
2023-06-07,Referral (Planity),5,4
2023-06-08,Organic Search,22,17
2023-06-08,Direct,15,13
2023-06-08,Social (Instagram),10,9
2023-06-08,Referral (Planity),7,6
2023-06-09,Organic Search,21,19
2023-06-09,Direct,15,13
2023-06-09,Social (Instagram),6,5
2023-06-09,Referral (Planity),6,5
2023-06-10,Organic Search,10,8
2023-06-10,Direct,5,4
2023-06-10,Social (Instagram),4,3
2023-06-10,Referral (Planity),2,2
2023-06-11,Organic Search,10,8
2023-06-11,Direct,5,4
2023-06-11,Social (Instagram),4,3
2023-06-11,Referral (Planity),4,3
2023-06-12,Organic Search,14,11
2023-06-12,Direct,5,4
2023-06-12,Social (Instagram),6,5
2023-06-12,Referral (Planity),4,3
2023-06-13,Organic Search,24,20
2023-06-13,Direct,12,10
2023-06-13,Social (Instagram),10,9
2023-06-13,Referral (Planity),9,7
2023-06-14,Organic Search,12,9
2023-06-14,Direct,7,5
2023-06-14,Social (Instagram),4,3
2023-06-14,Referral (Planity),3,3
2023-06-15,Organic Search,18,15
2023-06-15,Direct,12,9
2023-06-15,Social (Instagram),8,7
2023-06-15,Referral (Planity),5,4
2023-06-16,Organic Search,22,17
2023-06-16,Direct,13,11
2023-06-16,Social (Instagram),10,8
2023-06-16,Referral (Planity),6,5
2023-06-17,Organic Search,9,8
2023-06-17,Direct,6,5
2023-06-17,Social (Instagram),4,3
2023-06-17,Referral (Planity),3,3
2023-06-18,Organic Search,9,8
2023-06-18,Direct,6,5
2023-06-18,Social (Instagram),4,3
2023-06-18,Referral (Planity),2,2
2023-06-19,Organic Search,13,11
2023-06-19,Direct,8,7
2023-06-19,Social (Instagram),5,4
2023-06-19,Referral (Planity),2,2
2023-06-20,Organic Search,19,15
2023-06-20,Direct,9,7
2023-06-20,Social (Instagram),6,5
2023-06-20,Referral (Planity),4,4
2023-06-21,Organic Search,13,11
2023-06-21,Direct,8,6
2023-06-21,Social (Instagram),5,4
2023-06-21,Referral (Planity),4,3
2023-06-22,Organic Search,22,19
2023-06-22,Direct,11,10
2023-06-22,Social (Instagram),8,6
2023-06-22,Referral (Planity),7,6
2023-06-23,Organic Search,13,11
2023-06-23,Direct,8,6
2023-06-23,Social (Instagram),5,4
2023-06-23,Referral (Planity),3,3
2023-06-24,Organic Search,14,12
2023-06-24,Direct,7,6
2023-06-24,Social (Instagram),5,4
2023-06-24,Referral (Planity),4,3
2023-06-25,Organic Search,12,11
2023-06-25,Direct,9,8
2023-06-25,Social (Instagram),5,4
2023-06-25,Referral (Planity),4,3
2023-06-26,Organic Search,14,11
2023-06-26,Direct,7,6
2023-06-26,Social (Instagram),5,4
2023-06-26,Referral (Planity),3,3
2023-06-27,Organic Search,26,23
2023-06-27,Direct,14,12
2023-06-27,Social (Instagram),9,7
2023-06-27,Referral (Planity),5,4
2023-06-28,Organic Search,21,16
2023-06-28,Direct,13,11
2023-06-28,Social (Instagram),8,6
2023-06-28,Referral (Planity),7,6
2023-06-29,Organic Search,16,13
2023-06-29,Direct,11,9
2023-06-29,Social (Instagram),6,5
2023-06-29,Referral (Planity),5,4
2023-06-30,Organic Search,15,12
2023-06-30,Direct,9,7
2023-06-30,Social (Instagram),6,5
2023-06-30,Referral (Planity),3,3
2023-07-01,Organic Search,11,9
2023-07-01,Direct,6,5
2023-07-01,Social (Instagram),5,4
2023-07-01,Referral (Planity),4,3
2023-07-02,Organic Search,8,7
2023-07-02,Direct,4,3
2023-07-02,Social (Instagram),3,2
2023-07-02,Referral (Planity),2,2
2023-07-03,Organic Search,16,13
2023-07-03,Direct,9,8
2023-07-03,Social (Instagram),6,5
2023-07-03,Referral (Planity),4,3
2023-07-04,Organic Search,16,12
2023-07-04,Direct,9,8
2023-07-04,Social (Instagram),6,5
2023-07-04,Referral (Planity),4,3
2023-07-05,Organic Search,17,13
2023-07-05,Direct,8,7
2023-07-05,Social (Instagram),6,5
2023-07-05,Referral (Planity),3,2
2023-07-06,Organic Search,19,17
2023-07-06,Direct,10,8
2023-07-06,Social (Instagram),8,7
2023-07-06,Referral (Planity),5,4
2023-07-07,Organic Search,15,12
2023-07-07,Direct,8,6
2023-07-07,Social (Instagram),6,5
2023-07-07,Referral (Planity),4,3
2023-07-08,Organic Search,7,6
2023-07-08,Direct,4,3
2023-07-08,Social (Instagram),3,2
2023-07-08,Referral (Planity),2,2
2023-07-09,Organic Search,8,7
2023-07-09,Direct,4,3
2023-07-09,Social (Instagram),3,2
2023-07-09,Referral (Planity),2,2
2023-07-10,Organic Search,20,15
2023-07-10,Direct,9,8
2023-07-10,Social (Instagram),6,5
2023-07-10,Referral (Planity),6,5
2023-07-11,Organic Search,7,6
2023-07-11,Direct,4,3
2023-07-11,Social (Instagram),3,3
2023-07-11,Referral (Planity),2,2
2023-07-12,Organic Search,13,11
2023-07-12,Direct,7,6
2023-07-12,Social (Instagram),5,4
2023-07-12,Referral (Planity),4,3
2023-07-13,Organic Search,13,11
2023-07-13,Direct,9,7
2023-07-13,Social (Instagram),6,5
2023-07-13,Referral (Planity),4,3
2023-07-14,Organic Search,18,14
2023-07-14,Direct,10,9
2023-07-14,Social (Instagram),8,6
2023-07-14,Referral (Planity),6,5
2023-07-15,Organic Search,9,8
2023-07-15,Direct,6,5
2023-07-15,Social (Instagram),4,3
2023-07-15,Referral (Planity),3,2
2023-07-16,Organic Search,4,3
2023-07-16,Direct,2,2
2023-07-16,Social (Instagram),1,1
2023-07-16,Referral (Planity),1,1
2023-07-17,Organic Search,15,13
2023-07-17,Direct,9,7
2023-07-17,Social (Instagram),4,3
2023-07-17,Referral (Planity),4,3
2023-07-18,Organic Search,15,12
2023-07-18,Direct,9,8
2023-07-18,Social (Instagram),6,5
2023-07-18,Referral (Planity),3,2
2023-07-19,Organic Search,18,15
2023-07-19,Direct,10,8
2023-07-19,Social (Instagram),4,3
2023-07-19,Referral (Planity),3,2
2023-07-20,Organic Search,10,9
2023-07-20,Direct,7,6
2023-07-20,Social (Instagram),4,3
2023-07-20,Referral (Planity),3,3
2023-07-21,Organic Search,12,10
2023-07-21,Direct,7,5
2023-07-21,Social (Instagram),5,4
2023-07-21,Referral (Planity),2,2
2023-07-22,Organic Search,15,13
2023-07-22,Direct,8,7
2023-07-22,Social (Instagram),7,6
2023-07-22,Referral (Planity),3,3
2023-07-23,Organic Search,10,8
2023-07-23,Direct,6,5
2023-07-23,Social (Instagram),4,3
2023-07-23,Referral (Planity),3,2
2023-07-24,Organic Search,13,10
2023-07-24,Direct,8,6
2023-07-24,Social (Instagram),6,5
2023-07-24,Referral (Planity),4,3
2023-07-25,Organic Search,17,14
2023-07-25,Direct,8,7
2023-07-25,Social (Instagram),6,5
2023-07-25,Referral (Planity),4,3
2023-07-26,Organic Search,6,5
2023-07-26,Direct,3,3
2023-07-26,Social (Instagram),2,2
2023-07-26,Referral (Planity),1,1
2023-07-27,Organic Search,9,8
2023-07-27,Direct,5,4
2023-07-27,Social (Instagram),4,3
2023-07-27,Referral (Planity),2,2
2023-07-28,Organic Search,9,8
2023-07-28,Direct,7,6
2023-07-28,Social (Instagram),5,4
2023-07-28,Referral (Planity),3,2
2023-07-29,Organic Search,15,12
2023-07-29,Direct,9,7
2023-07-29,Social (Instagram),5,4
2023-07-29,Referral (Planity),4,4
2023-07-30,Organic Search,6,5
2023-07-30,Direct,3,3
2023-07-30,Social (Instagram),3,2
2023-07-30,Referral (Planity),2,2
2023-07-31,Organic Search,12,10
2023-07-31,Direct,9,7
2023-07-31,Social (Instagram),6,5
2023-07-31,Referral (Planity),4,4
2023-08-01,Organic Search,11,9
2023-08-01,Direct,6,5
2023-08-01,Social (Instagram),3,3
2023-08-01,Referral (Planity),3,3
2023-08-02,Organic Search,11,10
2023-08-02,Direct,4,3
2023-08-02,Social (Instagram),4,3
2023-08-02,Referral (Planity),3,3
2023-08-03,Organic Search,6,5
2023-08-03,Direct,3,3
2023-08-03,Social (Instagram),3,2
2023-08-03,Referral (Planity),2,2
2023-08-04,Organic Search,10,9
2023-08-04,Direct,5,4
2023-08-04,Social (Instagram),4,3
2023-08-04,Referral (Planity),4,3
2023-08-05,Organic Search,8,6
2023-08-05,Direct,5,4
2023-08-05,Social (Instagram),3,2
2023-08-05,Referral (Planity),2,2
2023-08-06,Organic Search,6,5
2023-08-06,Direct,3,3
2023-08-06,Social (Instagram),3,2
2023-08-06,Referral (Planity),1,1
2023-08-07,Organic Search,19,15
2023-08-07,Direct,11,9
2023-08-07,Social (Instagram),6,5
2023-08-07,Referral (Planity),5,4
2023-08-08,Organic Search,12,9
2023-08-08,Direct,7,6
2023-08-08,Social (Instagram),5,4
2023-08-08,Referral (Planity),4,3
2023-08-09,Organic Search,10,8
2023-08-09,Direct,7,5
2023-08-09,Social (Instagram),4,4
2023-08-09,Referral (Planity),3,2
2023-08-10,Organic Search,12,10
2023-08-10,Direct,6,5
2023-08-10,Social (Instagram),5,4
2023-08-10,Referral (Planity),4,3
2023-08-11,Organic Search,13,10
2023-08-11,Direct,6,5
2023-08-11,Social (Instagram),5,4
2023-08-11,Referral (Planity),3,3
2023-08-12,Organic Search,8,7
2023-08-12,Direct,4,4
2023-08-12,Social (Instagram),3,2
2023-08-12,Referral (Planity),2,2
2023-08-13,Organic Search,9,7
2023-08-13,Direct,5,4
2023-08-13,Social (Instagram),4,3
2023-08-13,Referral (Planity),3,2
2023-08-14,Organic Search,6,5
2023-08-14,Direct,3,2
2023-08-14,Social (Instagram),3,2
2023-08-14,Referral (Planity),2,2
2023-08-15,Organic Search,11,9
2023-08-15,Direct,7,6
2023-08-15,Social (Instagram),4,3
2023-08-15,Referral (Planity),2,2
2023-08-16,Organic Search,16,12
2023-08-16,Direct,7,5
2023-08-16,Social (Instagram),7,5
2023-08-16,Referral (Planity),3,2
2023-08-17,Organic Search,6,5
2023-08-17,Direct,3,3
2023-08-17,Social (Instagram),2,2
2023-08-17,Referral (Planity),2,2
2023-08-18,Organic Search,8,7
2023-08-18,Direct,4,3
2023-08-18,Social (Instagram),3,3
2023-08-18,Referral (Planity),2,2
2023-08-19,Organic Search,9,8
2023-08-19,Direct,5,4
2023-08-19,Social (Instagram),3,3
2023-08-19,Referral (Planity),2,2
2023-08-20,Organic Search,6,5
2023-08-20,Direct,3,2
2023-08-20,Social (Instagram),2,2
2023-08-20,Referral (Planity),1,1
2023-08-21,Organic Search,11,8
2023-08-21,Direct,8,7
2023-08-21,Social (Instagram),6,5
2023-08-21,Referral (Planity),2,2
2023-08-22,Organic Search,10,8
2023-08-22,Direct,5,4
2023-08-22,Social (Instagram),4,4
2023-08-22,Referral (Planity),2,2
2023-08-23,Organic Search,11,9
2023-08-23,Direct,6,5
2023-08-23,Social (Instagram),5,4
2023-08-23,Referral (Planity),2,2
2023-08-24,Organic Search,10,8
2023-08-24,Direct,6,5
2023-08-24,Social (Instagram),3,2
2023-08-24,Referral (Planity),3,3
2023-08-25,Organic Search,9,7
2023-08-25,Direct,5,4
2023-08-25,Social (Instagram),4,3
2023-08-25,Referral (Planity),2,2
2023-08-26,Organic Search,6,5
2023-08-26,Direct,4,4
2023-08-26,Social (Instagram),3,3
2023-08-26,Referral (Planity),2,2
2023-08-27,Organic Search,5,4
2023-08-27,Direct,3,2
2023-08-27,Social (Instagram),2,2
2023-08-27,Referral (Planity),1,1
2023-08-28,Organic Search,8,6
2023-08-28,Direct,5,4
2023-08-28,Social (Instagram),3,3
2023-08-28,Referral (Planity),2,2
2023-08-29,Organic Search,11,9
2023-08-29,Direct,5,4
2023-08-29,Social (Instagram),4,4
2023-08-29,Referral (Planity),3,2
2023-08-30,Organic Search,16,13
2023-08-30,Direct,9,8
2023-08-30,Social (Instagram),6,5
2023-08-30,Referral (Planity),4,3
2023-08-31,Organic Search,12,11
2023-08-31,Direct,6,5
2023-08-31,Social (Instagram),5,4
2023-08-31,Referral (Planity),4,3
2023-09-01,Organic Search,26,22
2023-09-01,Direct,17,14
2023-09-01,Social (Instagram),11,9
2023-09-01,Referral (Planity),8,7
2023-09-02,Organic Search,17,15
2023-09-02,Direct,9,8
2023-09-02,Social (Instagram),6,5
2023-09-02,Referral (Planity),5,4
2023-09-03,Organic Search,16,13
2023-09-03,Direct,10,8
2023-09-03,Social (Instagram),6,5
2023-09-03,Referral (Planity),4,4
2023-09-04,Organic Search,21,18
2023-09-04,Direct,12,9
2023-09-04,Social (Instagram),8,7
2023-09-04,Referral (Planity),6,5
2023-09-05,Organic Search,16,13
2023-09-05,Direct,10,8
2023-09-05,Social (Instagram),7,6
2023-09-05,Referral (Planity),4,4
2023-09-06,Organic Search,20,16
2023-09-06,Direct,11,9
2023-09-06,Social (Instagram),8,7
2023-09-06,Referral (Planity),5,4
2023-09-07,Organic Search,12,10
2023-09-07,Direct,6,5
2023-09-07,Social (Instagram),5,4
2023-09-07,Referral (Planity),4,4
2023-09-08,Organic Search,19,17
2023-09-08,Direct,11,9
2023-09-08,Social (Instagram),8,7
2023-09-08,Referral (Planity),4,3
2023-09-09,Organic Search,12,10
2023-09-09,Direct,7,5
2023-09-09,Social (Instagram),4,3
2023-09-09,Referral (Planity),3,3
2023-09-10,Organic Search,12,9
2023-09-10,Direct,8,6
2023-09-10,Social (Instagram),5,4
2023-09-10,Referral (Planity),2,2
2023-09-11,Organic Search,16,13
2023-09-11,Direct,10,9
2023-09-11,Social (Instagram),7,6
2023-09-11,Referral (Planity),4,3
2023-09-12,Organic Search,16,14
2023-09-12,Direct,10,8
2023-09-12,Social (Instagram),8,7
2023-09-12,Referral (Planity),4,3
2023-09-13,Organic Search,19,16
2023-09-13,Direct,11,9
2023-09-13,Social (Instagram),9,7
2023-09-13,Referral (Planity),6,5
2023-09-14,Organic Search,22,18
2023-09-14,Direct,14,12
2023-09-14,Social (Instagram),11,8
2023-09-14,Referral (Planity),6,5
2023-09-15,Organic Search,16,14
2023-09-15,Direct,10,8
2023-09-15,Social (Instagram),6,5
2023-09-15,Referral (Planity),5,4
2023-09-16,Organic Search,13,11
2023-09-16,Direct,6,5
